Species	Chemical Name	Freq-MHz(rest frame,redshifted)	Freq Err(rest frame,redshifted)	Meas Freq-MHz(rest frame,redshifted)	Meas Freq Err(rest frame,redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	E_U (cm^-1)	E_U (K)	Linelist
CCCNv5=1	Cyanoethynyl	73.85150	0.0342			J=3/2,&Omega;=1/2,l=f-e	-10.86330		150.87070	217.06803	150.87316	217.07158	CDMS
NO	Nitric oxide	73.90070	0.0006			J=3/2-3/2,&Omega;=3/2,F=7/2--5/2+	-15.09270		124.91270	179.72268	124.91517	179.72623	CDMS
N18O	Nitric oxide	73.97940	0.0007			J=3/2-3/2,&Omega;=3/2,F=7/2--5/2+	-15.11280		124.82000	179.58931	124.82247	179.59286	CDMS
NH2CH2CH2OHv26=1	Aminoethanol	74.05340	0.0002			16(6,10)-16(6,11)	-11.66970		265.20900	381.57440	265.21147	381.57795	JPL
D2CO	Formaldehyde	74.08710	0.0001			39(10,29)-39(10,30)	-13.24960		1897.01280	2729.39603	1897.01527	2729.39958	CDMS
NH2CH2CH2OHv27=2	Aminoethanol	74.12640	0.0001			8(4,4)-8(4,5)	-11.54800		181.21840	260.73135	181.22087	260.73491	JPL
t-DCOOH	Formic Acid	74.12940	0			15(5,10)-15(5,11)	-10.93170		127.30330	183.16000	127.30577	183.16356	JPL
NO	Nitric oxide	74.31770	0.0006			J=3/2-3/2,&Omega;=3/2,F=7/2--5/2+	-15.08780		124.91270	179.72268	124.91518	179.72625	CDMS
N18O	Nitric oxide	74.36980	0.0007			J=3/2-3/2,&Omega;=3/2,F=7/2--5/2+	-15.10830		124.82000	179.58931	124.82248	179.59288	CDMS
NO,v=1	Nitric oxide	74.43160	0.001			J=17/2-17/2,&Omega;=1/2,F=19/2+-19/2-	-16.77980		2102.81610	3025.50300	2102.81858	3025.50657	CDMS
N18O	Nitric oxide	74.54640	0.0003			J=17/2-17/2,&Omega;=1/2,F=19/2+-17/2-	-14.64270		222.57370	320.23599	222.57619	320.23957	CDMS
CH2OO	Methylene peroxide	74.55450	0.0011			26(6,20)-26(6,21)	-10.27480		351.39620	505.58404	351.39869	505.58762	JPL
CH3OHvt=0-2	Methanol	74.71400	0.001			20(4,16)-20(4,17)A,vt=0	-12.09600		394.47720	567.56143	394.47969	567.56502	CDMS
NO,v=1	Nitric oxide	74.85590	0.0272			J=3/2-3/2,&Omega;=3/2,F=7/2+-5/2-	-16.59180		2000.72560	2878.61658	2000.72810	2878.62018	CDMS
N18O	Nitric oxide	74.86310	0.0007			J=3/2-3/2,&Omega;=3/2,F=7/2+-5/2-	-12.61260		124.82000	179.58931	124.82250	179.59290	CDMS
17OH	Hydroxyl radical	74.89270	0.0951			N=5-5,J+1/2=9/2-9/2,p=-1-1,F1=5-5,F+1/2=11/2-13/2	-12.49300		606.50010	872.62403	606.50260	872.62763	JPL
NO	Nitric oxide			74.93000	0.001	J=3/2-3/2,&Omega;=3/2,F=7/2+-5/2-	-12.59030		124.91270	179.72268	124.91520	179.72628	CDMS
NO	Nitric oxide			74.93100	0.003	J=3/2,&Omega;=3/2,F=3/2+-5/2-	-12.59020		124.91300	179.72091	124.91550	179.72451	JPL
t-HCOOH	Formic Acid	74.98280	0.0009			51(9,42)-51(9,43)	-13.03850		1174.78890	1690.24945	1174.79140	1690.25305	CDMS
NH2CH2CH2OHv=0	Aminoethanol	75.43060	0			2(2,0)-2(2,1)	-11.20860		2.27330	3.27075	2.27582	3.27437	JPL
17OO	Molecular oxygen	75.44750	0.0339			N=8-8,J=7-7,F=11/2-9/2	-14.76750		100.27420	144.27138	100.27672	144.27500	JPL
NH2CH2CH2OHv25=1	Aminoethanol	75.46590	0.0001			2(2,0)-2(2,1)	-11.84350		307.27470	442.09721	307.27722	442.10083	JPL
N18O	Nitric oxide	75.77520	0.0004			J=9/2-9/2,&Omega;=1/2,F=11/2--9/2+	-13.71290		38.10900	54.83071	38.11153	54.83434	CDMS
NO,v=1	Nitric oxide	75.81400	0.0035			J=9/2-9/2,&Omega;=1/2,F=11/2--9/2+	-17.60130		1915.82750	2756.46636	1915.83003	2756.47000	CDMS
NO	Nitric oxide	75.89270	0.0004			J=9/2-9/2,&Omega;=1/2,F=11/2--9/2+	-13.69380		40.16210	57.78468	40.16463	57.78832	CDMS
NO	Nitric oxide			76.02500	0.001	J=15/2,&Omega;=3/2,F=17/2+-17/2-	-12.76300		228.08460	328.16097	228.08714	328.16462	JPL
NO	Nitric oxide			76.02500	0.001	J=17/2-17/2,&Omega;=1/2,F=19/2+-19/2-	-12.76310		228.08440	328.16471	228.08694	328.16836	CDMS
OCSv2=1	Carbonyl Sulfide			76.33630	0.0001	J=3,l=1f-1e	-12.05100		522.85930	752.27357	522.86185	752.27724	CDMS
17OD	Hydroxyl radical	76.36560	0.0067			N=1-1,J+1/2=3/2-3/2,p=-1-1,F1=2-3,F=1-0	-10.47840		0.03460	0.04978	0.03715	0.05345	JPL
H2C18O	Formaldehyde	76.42540	1.1796			25(3,22)-26(1,25)	-12.98140		832.48160	1197.76312	832.48415	1197.76679	CDMS
17OO	Molecular oxygen	76.50300	0.0268			N=4-4,J=3-3,F=5/2-3/2	-14.24720		27.66230	39.79965	27.66485	39.80332	JPL
H2SO4	Sulfuric acid	76.59860	0.0034			41(19,23)-41(18,23)	-10.52340		287.92650	414.25962	287.92906	414.26330	JPL
CH318OHvt=0,1&2	Methanol	76.75700	0.04			40(4,36)-40(4,37)A,vt=1	-14.75100		1599.55900	2301.39536	1599.56156	2301.39904	CDMS
CH2OO	Methylene peroxide	76.79410	0.0008			19(5,14)-19(5,15)	-9.96070		202.34680	291.13380	202.34936	291.13749	JPL
17OO	Molecular oxygen	76.92190	0.0276			N=3-3,J=4-4,F=5/2-7/2	-14.04800		16.59590	23.87766	16.59847	23.88135	JPL
17OO	Molecular oxygen	77.03550	0.0354			N=7-7,J=8-8,F=11/2-13/2	-14.65010		77.91530	112.10209	77.91787	112.10579	JPL
NH2CH2CH2OHv27=2	Aminoethanol	77.04080	0			2(2,0)-2(2,1)	-11.53190		166.27070	239.22507	166.27327	239.22877	JPL
t-DCOOH	Formic Acid	77.44280	0			10(4,6)-10(4,7)	-10.78630		65.39550	94.08900	65.39808	94.09271	JPL
15N17O	Nitric oxide	77.46910	0.0153			J=1/2-1/2,p=-1-1,F1=3-2,F2=3-2	-12.66230		0.00080	0.00115	0.00338	0.00487	CDMS
CH318OHvt=0,1&2	Methanol	77.79400	0.01			10(2,9)-10(2,8)A,vt=1	-12.19300		292.31300	420.57078	292.31559	420.57452	CDMS
NH2CH2CH2OHv25=1	Aminoethanol	77.95040	0.0003			28(9,19)-28(9,20)	-11.94940		468.26640	673.72702	468.26900	673.73076	JPL
HCCCH2OH	Propargyl Alcohol	77.98220	0.0001			10(3,7)-10(3,8),vt=0-0	-11.99960		24.82250	35.71384	24.82510	35.71758	JPL
NH2CH2CH2OHv27=2	Aminoethanol	78.15660	0.0004			41(12,29)-41(12,30)	-11.94500		501.64590	721.75240	501.64851	721.75615	JPL
MgNCv2=1	Magnesium Isocyanide	78.17130	0.0624			J=3/2-1/2,&Omega;=3/2-1/2,l=f	-9.92880		83.79300	120.55874	83.79561	120.56249	CDMS
17OO	Molecular oxygen	78.40810	0.035			N=9-9,J=8-8,F=13/2-11/2	-14.82940		125.38970	180.40677	125.39232	180.41053	JPL
HC3Nv7=1	Cyanoacetylene	78.46140	0.0001			J=3,l=1f-1e	-10.08630		224.82540	323.47174	224.82802	323.47551	CDMS
N17O	Nitric oxide	78.54350	0.0116			J=1/2-1/2,&Omega;=1/2,F1=5/2+-5/2-,F2=7/2+-7/2-	-12.73930		0.00300	0.00432	0.00562	0.00809	CDMS
CH318OHvt=0,1&2	Methanol	78.57000	0			21(4,17)-21(4,18)A,vt=0	-12.10900		413.21200	594.51648	413.21462	594.52025	CDMS
NH2CH2CH2OHv=0	Aminoethanol	78.62780	0.0001			28(9,19)-28(9,20)	-11.30720		163.46260	235.18487	163.46522	235.18864	JPL
c-HCOOH	Formic Acid	78.81020	0.0001			8(3,5)-8(3,6)	-10.24880		49.05750	70.58239	49.06013	70.58618	CDMS
CH3OHvt=0-2	Methanol	79.31600	0.042			33(2,31)-33(2,32)A,vt=2	-15.50130		1508.49680	2170.37792	1508.49945	2170.38173	CDMS
HDO	Water	79.37580	0.0037			9(6,3)-9(6,4)	-11.62210		1244.43710	1790.45710	1244.43975	1790.46091	JPL
CH3OHvt=0-2	Methanol	79.44800	0			5(2,3)-5(2,4)A,vt=0	-11.38070		50.41080	72.52948	50.41345	72.53329	CDMS
CH318OHvt=0,1&2	Methanol	79.51400	0.22			34(2,33)-34(2,32)A,vt=2	-15.26500		1520.64300	2187.85349	1520.64565	2187.85731	CDMS
17OO	Molecular oxygen	79.67790	0.0362			N=8-8,J=9-9,F=13/2-15/2	-14.71900		100.21940	144.19253	100.22206	144.19636	JPL
17OD	Hydroxyl radical	79.87180	0.0066			N=1-1,J+1/2=3/2-3/2,p=-1-1,F1=2-3,F=1-1	-10.53340		0.03450	0.04964	0.03716	0.05347	JPL
CH3CHNH2COOH-II	&alpha;-Alanine	79.89370	0.0001			5(4,1)-5(4,2),F=5-5	-10.90840		3.97470	5.71874	3.97736	5.72258	CDMS
CH3CHNH2COOH-II	&alpha;-Alanine	79.90080	0.0002			5(4,1)-5(4,2),F=6-6	-10.81850		3.97470	5.71874	3.97737	5.72258	CDMS
CH3CHNH2COOH-II	&alpha;-Alanine	79.90220	0.0002			5(4,1)-5(4,2),F=4-4	-10.98370		3.97470	5.71874	3.97737	5.72258	CDMS
H2C18O	Formaldehyde	79.95170	0.0001			13(4,9)-13(4,10)	-10.45550		342.51590	492.80718	342.51857	492.81102	CDMS
t-HCOOH	Formic Acid	80.00250	0.0001			27(6,21)-27(6,22)	-11.36120		363.48300	522.96795	363.48567	522.97179	CDMS
N18O	Nitric oxide	80.07980	0.0003			J=7/2-7/2,&Omega;=1/2,F=9/2--7/2+	-13.76320		23.82510	34.27923	23.82777	34.28307	CDMS
NO,v=1	Nitric oxide	80.09150	0.004			J=7/2-7/2,&Omega;=1/2,F=9/2--7/2+	-17.65070		1900.92810	2735.02931	1900.93077	2735.03315	CDMS
N17O	Nitric oxide	80.11940	0.0155			J=3/2-3/2,&Omega;=3/2,F1=3/2+-5/2-,F2=5/2+-7/2-	-13.27860		133.23070	191.69051	133.23337	191.69435	CDMS
NH2CH2CH2OHv27=1	Aminoethanol	80.16630	0.0004			42(12,30)-42(12,31)	-11.83580		454.83860	654.40752	454.84127	654.41137	JPL
NO	Nitric oxide	80.18140	0.0003			J=7/2-7/2,&Omega;=1/2,F=9/2--7/2+	-13.74280		25.10860	36.12591	25.11127	36.12976	CDMS
CH3OHvt=0-2	Methanol	80.29100	0.002			34(5,29)-34(5,30)A,vt=0	-13.47420		1053.60320	1515.89126	1053.60588	1515.89512	CDMS
15NO	Nitric oxide			80.48910	0.0005	J=17/2-17/2,&Omega;=1/2,F=15/2+-17/2-	-14.69550		224.32620	322.75746	224.32888	322.76133	CDMS
15NO	Nitric oxide			80.48910	0.0005	J=17/2-17/2,&Omega;=1/2,F=15/2+-17/2-	-14.69650		224.32620	322.75746	224.32888	322.76133	JPL
H2SO4	Sulfuric acid	80.57510	0.0055			60(28,33)-60(27,33)	-10.90820		611.84860	880.30859	611.85129	880.31246	JPL
c-HCOOD	Formic Acid	80.58750	0.0001			3(2,1)-3(2,2)	-10.15020		13.93820	20.05385	13.94089	20.05771	JPL
H2SO4	Sulfuric acid	80.68080	0.079			73(34,40)-73(33,40)	-11.80890		902.68010	1298.74784	902.68279	1298.75171	JPL
NH2CH2CH2OHv26=1	Aminoethanol	80.69780	0.0006			38(11,27)-38(11,28)	-11.94310		495.78500	713.31992	495.78769	713.32379	JPL
17OO	Molecular oxygen	80.73480	0.0359			N=10-10,J=9-9,F=15/2-13/2	-14.90190		153.28990	220.54870	153.29259	220.55258	JPL
17OD	Hydroxyl radical	80.74370	0.0067			N=1-1,J+1/2=3/2-3/2,p=-1-1,F1=3-3,F=2-1	-10.07980		0.03450	0.04964	0.03719	0.05351	JPL
CH3OHvt=0-2	Methanol	80.79800	0.008			24(3,21)-24(3,22)A,vt=1	-13.12920		757.67240	1090.11530	757.67510	1090.11918	CDMS
N17O	Nitric oxide	80.83340	0.0157			J=3/2-3/2,&Omega;=3/2,F1=3/2+-5/2-,F2=3/2+-5/2-	-13.37460		133.22970	191.68907	133.23240	191.69295	CDMS
NH2CH2CH2OHv26+v27	Aminoethanol	80.86810	0.0022			24(8,16)-24(8,17)	-11.78500		389.47680	560.36701	389.47950	560.37089	JPL
N18O	Nitric oxide	81.20470	0.0004			J=19/2-19/2,&Omega;=1/2,F=19/2--21/2+	-14.78130		250.25880	360.06893	250.26151	360.07283	CDMS
t-HCOOH	Formic Acid	81.27370	0			13(4,9)-13(4,10)	-10.84370		103.67010	149.15729	103.67281	149.16119	CDMS
17OO	Molecular oxygen	81.31290	0.0271			N=4-4,J=5-5,F=7/2-9/2	-14.10470		27.73700	39.90713	27.73971	39.91103	JPL
D2CO	Formaldehyde	81.41890	0.0002			45(11,34)-45(11,35)	-14.64850		2471.62540	3556.14076	2471.62812	3556.14467	CDMS
NO	Nitric oxide			81.54700	0.001	J=15/2,&Omega;=3/2,F=13/2+-15/2-	-14.55540		228.08400	328.16011	228.08672	328.16402	JPL
NO	Nitric oxide			81.54700	0.001	J=17/2-17/2,&Omega;=1/2,F=17/2+-15/2-	-14.55550		228.08380	328.16385	228.08652	328.16776	CDMS
17OH	Hydroxyl radical	81.76540	0.0088			N=5-5,J+1/2=9/2-9/2,p=1--1,F1=4-5,F+1/2=9/2-11/2	-13.21080		606.50260	872.62763	606.50533	872.63156	JPL
17OO	Molecular oxygen	81.82600	0.0369			N=9-9,J=10-10,F=15/2-17/2	-14.79470		125.31090	180.29340	125.31363	180.29732	JPL
NH2CH2CH2OHv27=1	Aminoethanol	81.89580	0.0001			20(7,13)-20(7,14)	-11.39290		190.47770	274.05335	190.48043	274.05728	JPL
N18O	Nitric oxide	81.93150	0.0004			J=19/2-19/2,&Omega;=1/2,F=17/2--19/2+	-14.77380		250.25860	360.06865	250.26133	360.07258	CDMS
17OO	Molecular oxygen	82.00390	0.0269			N=5-5,J=4-4,F=7/2-5/2	-14.23750		41.64090	59.91162	41.64364	59.91556	JPL
t-H13COOH	Formic Acid	82.20760	0.0002			34(7,27)-34(7,28)	-11.70370		551.42370	793.37114	551.42644	793.37508	CDMS
H213CO	Formaldehyde	82.54070	0.0001			28(6,22)-28(6,23)	-12.29730		1256.09550	1807.23084	1256.09825	1807.23480	CDMS
H213CO	Formaldehyde	82.54070	0.0001			28(6,22)-28(6,23)	-12.29730		1256.09550	1807.23084	1256.09825	1807.23480	JPL
17OO	Molecular oxygen	82.61170	0.0366			N=11-11,J=10-10,F=17/2-15/2	-14.98260		183.97400	264.69603	183.97676	264.69999	JPL
15NO	Nitric oxide	82.90790	0.0047			J=3/2-3/2,&Omega;=3/2,F=3/2--5/2+	-12.62540		124.84960	179.63189	124.85237	179.63587	JPL
15NO	Nitric oxide	82.92200	0.0007			J=3/2-3/2,&Omega;=3/2,F=3/2--5/2+	-12.62420		124.84960	179.63189	124.85237	179.63587	CDMS
HCCCH2OH	Propargyl Alcohol	82.97120	0			4(2,2)-4(2,3),vt=1-1	-11.92410		28.49510	40.99786	28.49787	41.00184	JPL
H2SO4	Sulfuric acid	83.00840	0.006			22(10,13)-22(9,13)	-10.29780		84.55380	121.65336	84.55657	121.65734	JPL
D2CO	Formaldehyde	83.08500	0			28(8,20)-28(8,21)	-11.39560		1033.15780	1486.49329	1033.16057	1486.49728	CDMS
H213CO	Formaldehyde	83.23110	0			20(5,15)-20(5,16)	-10.67290		702.53500	1010.78534	702.53778	1010.78934	CDMS
H213CO	Formaldehyde	83.23110	0			20(5,15)-20(5,16)	-10.67290		702.53500	1010.78534	702.53778	1010.78934	JPL
NH2CH2CH2OHv26=1	Aminoethanol	83.24750	0.0004			29(9,20)-29(9,21)	-11.72400		380.12750	546.91553	380.13028	546.91953	JPL
t-H13COOH	Formic Acid	83.34680	0			7(3,4)-7(3,5)	-10.70350		40.29040	57.96856	40.29318	57.97256	JPL
t-H13COOH	Formic Acid	83.34700	0			7(3,4)-7(3,5)	-10.68780		40.29050	57.96871	40.29328	57.97271	CDMS
NH2CH2CH2OHv27=1	Aminoethanol	83.44680	0.0001			12(5,7)-12(5,8)	-11.33490		138.26240	198.92761	138.26518	198.93161	JPL
NH2CH2CH2OHv27=1	Aminoethanol	83.44960	0.0002			33(10,23)-33(10,24)	-11.57670		325.31480	468.05274	325.31758	468.05674	JPL
17OO	Molecular oxygen	83.60670	0.0375			N=10-10,J=11-11,F=17/2-19/2	-14.87640		153.18860	220.40296	153.19139	220.40697	JPL
c-DCOOH	Formic Acid	83.65990	0.0004			23(6,17)-23(6,18)	-10.56590		261.07010	375.61948	261.07289	375.62349	JPL
15NO	Nitric oxide	83.68820	0.0047			J=3/2-3/2,&Omega;=3/2,F=3/2--5/2+	-15.71180		124.84960	179.63189	124.85239	179.63591	JPL
15NO	Nitric oxide	83.70240	0.0007			J=3/2-3/2,&Omega;=3/2,F=3/2--5/2+	-15.10780		124.84960	179.63189	124.85239	179.63591	CDMS
15NO	Nitric oxide			83.76100	0.0005	J=19/2-19/2,&Omega;=1/2,F=19/2--17/2+	-14.87510		252.49900	363.29210	252.50179	363.29612	CDMS
15NO	Nitric oxide			83.76100	0.0005	J=19/2-19/2,&Omega;=1/2,F=19/2--17/2+	-14.87610		252.49900	363.29210	252.50179	363.29612	JPL
15NO	Nitric oxide	83.78130	0.0047			J=3/2-3/2,&Omega;=3/2,F=3/2--5/2+	-15.71090		124.84960	179.63189	124.85239	179.63591	JPL
15NO	Nitric oxide	83.79550	0.0007			J=3/2-3/2,&Omega;=3/2,F=3/2--5/2+	-15.10690		124.84960	179.63189	124.85240	179.63592	CDMS
NH2CH2CH2OHv25+v27	Aminoethanol	83.85310	0.0006			5(3,2)-5(3,3)	-11.98710		416.90330	599.82740	416.90610	599.83143	JPL
c-H13COOH	Formic acid	83.91140	0.0002			22(5,17)-22(5,18)	-10.59530		246.45250	354.58813	246.45530	354.59216	JPL
