Species	Chemical Name	Freq-MHz(rest frame,redshifted)	Freq Err(rest frame,redshifted)	Meas Freq-MHz(rest frame,redshifted)	Meas Freq Err(rest frame,redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	Linelist
N18O	Nitric oxide	71.40830	0.0005			J=11/2-11/2,&Omega;=3/2,F=15/2--13/2+	-13.67130		76.19480	CDMS
H&alpha;	Hydrogen Recombination Line	71.44900	0			H(451)&alpha;	0.00000		0.00000	Recomb
NH2CH2CH2OHv27=2	Aminoethanol	71.46280	0.0002			32(10,22)-32(10,23)	-11.80000		374.70210	JPL
He&alpha;	Helium Recombination Line	71.47800	0			He(451)&alpha;	0.00000		0.00000	Recomb
NO,v=1	Nitric oxide	71.48380	0.004			J=11/2-11/2,&Omega;=3/2,F=15/2--13/2+	-17.56260		1955.55450	CDMS
C&alpha;	Carbon Recombination Line	71.48500	0			C(451)&alpha;	0.00000		0.00000	Recomb
NO	Nitric oxide	71.54820	0.0006			J=11/2-11/2,&Omega;=3/2,F=15/2--13/2+	-13.65600		80.30010	CDMS
17OO	Molecular oxygen	71.55220	0.0323			N=7-7,J=6-6,F=9/2-7/2	-14.72080		77.94400	JPL
H2SO4	Sulfuric acid	71.56360	0.0063			58(27,32)-58(26,32)	-11.42730		572.06750	JPL
HC3Nv6=1	Cyanoacetylene	71.75600	0.079			J=4,l=1f-1e	0.00000		501.54000	SLAIM
H&alpha;	Hydrogen Recombination Line	71.92600	0			H(450)&alpha;	0.00000		0.00000	Recomb
CH318OHvt=0,1&2	Methanol	71.93600	0			12(3,9)-12(3,10)A,vt=0	-11.64800		155.41700	CDMS
He&alpha;	Helium Recombination Line	71.95500	0			He(450)&alpha;	0.00000		0.00000	Recomb
C&alpha;	Carbon Recombination Line	71.96200	0			C(450)&alpha;	0.00000		0.00000	Recomb
NO,v=1	Nitric oxide	71.99160	0.001			J=17/2-17/2,&Omega;=1/2,F=15/2+-15/2-	-16.91950		2102.81550	CDMS
N17O	Nitric oxide	72.08560	0.0156			J=3/2-3/2,&Omega;=3/2,F1=3/2+-5/2-,F2=5/2+-7/2-	-13.36960		133.23090	CDMS
H&alpha;	Hydrogen Recombination Line	72.40700	0			H(449)&alpha;	0.00000		0.00000	Recomb
He&alpha;	Helium Recombination Line	72.43700	0			He(449)&alpha;	0.00000		0.00000	Recomb
C&alpha;	Carbon Recombination Line	72.44300	0			C(449)&alpha;	0.00000		0.00000	Recomb
HDCO	Formaldehyde	72.44800	0			10(4,6)-10(4,7)	0.00000		206.82400	SLAIM
HDCO	Formaldehyde	72.44830	0			10(4,6)-10(4,7)	-9.95810		206.82450	CDMS
HDCO	Formaldehyde	72.45440	0.0011			10(4,6)-10(4,7)	-9.95520		206.99570	JPL
NH2CH2CH2OHv26=1	Aminoethanol	72.46310	0.0002			12(5,7)-12(5,8)	-11.67330		242.20140	JPL
H13CN,v2=3	Hydrogen cyanide 	72.76470	0.0055			12(3)-12(-3	-13.47350		2352.05180	CDMS
NO	Nitric oxide			72.78600	0.001	J=15/2,&Omega;=3/2,F=15/2+-15/2-	-12.85950		228.08430	JPL
NO	Nitric oxide			72.78600	0.001	J=17/2-17/2,&Omega;=1/2,F=17/2+-17/2-	-12.85970		228.08400	CDMS
H&alpha;	Hydrogen Recombination Line	72.89200	0			H(448)&alpha;	0.00000		0.00000	Recomb
He&alpha;	Helium Recombination Line	72.92200	0			He(448)&alpha;	0.00000		0.00000	Recomb
CH318OHvt=0,1&2	Methanol	72.92800	0.03			24(3,21)-24(3,22)A,vt=1	-13.22500		736.66000	CDMS
C&alpha;	Carbon Recombination Line	72.92900	0			C(448)&alpha;	0.00000		0.00000	Recomb
CH318OHvt=0,1&2	Methanol	73.09900	0.01			35(5,30)-35(5,31)A,vt=0	-13.64300		1068.10500	CDMS
N18O	Nitric oxide	73.14620	0.0004			J=13/2-13/2,&Omega;=1/2,F=15/2--13/2+	-13.68420		55.56560	CDMS
NO,v=1	Nitric oxide	73.20550	0.0036			J=13/2-13/2,&Omega;=1/2,F=15/2--13/2+	-17.57390		1934.03630	CDMS
c-DCOOH	Formic Acid	73.23720	0.0001			11(4,7)-11(4,8)	-10.32930		75.17090	JPL
NO,v=1	Nitric oxide	73.25300	0.0272			J=3/2-3/2,&Omega;=3/2,F=7/2--5/2+	-16.61060		2000.72560	CDMS
NO	Nitric oxide	73.27640	0.0005			J=13/2-13/2,&Omega;=1/2,F=15/2--13/2+	-13.66680		58.55930	CDMS
NO	Nitric oxide			73.28600	0.003	J=3/2,&Omega;=3/2,F=5/2+-3/2-	-12.60940		124.91300	JPL
H2SO4	Sulfuric acid	73.28810	0.2851			82(38,45)-82(37,45)	-11.76560		1136.81550	JPL
NO	Nitric oxide			73.28900	0.001	J=3/2-3/2,&Omega;=3/2,F=7/2--5/2+	-12.60950		124.91270	CDMS
H&alpha;	Hydrogen Recombination Line	73.38200	0			H(447)&alpha;	0.00000		0.00000	Recomb
He&alpha;	Helium Recombination Line	73.41200	0			He(447)&alpha;	0.00000		0.00000	Recomb
C&alpha;	Carbon Recombination Line	73.41900	0			C(447)&alpha;	0.00000		0.00000	Recomb
CH3OHvt=0-2	Methanol	73.45700	0.006			39(4,35)-39(4,36)A,vt=1	-14.96280		1590.35520	CDMS
N17O	Nitric oxide	73.48180	0.0157			J=3/2-3/2,&Omega;=3/2,F1=3/2+-5/2-,F2=3/2+-5/2-	-13.45730		133.22980	CDMS
N18O	Nitric oxide	73.48620	0.0007			J=3/2-3/2,&Omega;=3/2,F=7/2--5/2+	-12.62870		124.82000	CDMS
NH2CH2CH2OHv26+v27	Aminoethanol	73.48650	0.0002			2(2,0)-2(2,1)	-11.78950		270.27910	JPL
NO	Nitric oxide			73.54000	0.001	J=15/2,&Omega;=3/2,F=13/2+-13/2-	-12.90260		228.08400	JPL
NO	Nitric oxide			73.54000	0.001	J=17/2-17/2,&Omega;=1/2,F=15/2+-15/2-	-12.90270		228.08380	CDMS
H2SO4	Sulfuric acid	73.58940	0.0056			20(9,12)-20(8,12)	-10.87450		70.16270	JPL
17OO	Molecular oxygen	73.70570	0.0343			N=6-6,J=7-7,F=9/2-11/2	-14.59000		58.39980	JPL
t-HCOOH	Formic Acid	73.71670	0			7(3,4)-7(3,5)	-10.78940		40.89910	CDMS
H2CO	Formaldehyde	73.73000	0			27(6,21)-27(6,22)	0.00000		1211.63500	SLAIM
H2CO	Formaldehyde	73.73040	0.0001			27(6,21)-27(6,22)	-12.27630		1211.63490	CDMS
H2CO	Formaldehyde	73.73070	0.0002			27(6,21)-27(6,22)	-12.27650		1211.63510	JPL
CCCNv5=1	Cyanoethynyl	73.85150	0.0342			J=3/2,&Omega;=1/2,l=f-e	-10.86330		150.87070	CDMS
H&alpha;	Hydrogen Recombination Line	73.87600	0			H(446)&alpha;	0.00000		0.00000	Recomb
NO	Nitric oxide	73.90070	0.0006			J=3/2-3/2,&Omega;=3/2,F=7/2--5/2+	-15.09270		124.91270	CDMS
He&alpha;	Helium Recombination Line	73.90600	0			He(446)&alpha;	0.00000		0.00000	Recomb
C&alpha;	Carbon Recombination Line	73.91300	0			C(446)&alpha;	0.00000		0.00000	Recomb
N18O	Nitric oxide	73.97940	0.0007			J=3/2-3/2,&Omega;=3/2,F=7/2--5/2+	-15.11280		124.82000	CDMS
NH2CH2CH2OHv26=1	Aminoethanol	74.05340	0.0002			16(6,10)-16(6,11)	-11.66970		265.20900	JPL
D2CO	Formaldehyde	74.08710	0.0001			39(10,29)-39(10,30)	-13.24960		1897.01280	CDMS
D2CO	Formaldehyde	74.09300	0			39(10,29)-39(10,30)	0.00000		1897.01500	SLAIM
NH2CH2CH2OHv27=2	Aminoethanol	74.12640	0.0001			8(4,4)-8(4,5)	-11.54800		181.21840	JPL
t-DCOOH	Formic Acid	74.12940	0			15(5,10)-15(5,11)	-10.93170		127.30330	JPL
NO	Nitric oxide	74.31770	0.0006			J=3/2-3/2,&Omega;=3/2,F=7/2--5/2+	-15.08780		124.91270	CDMS
N18O	Nitric oxide	74.36980	0.0007			J=3/2-3/2,&Omega;=3/2,F=7/2--5/2+	-15.10830		124.82000	CDMS
H&alpha;	Hydrogen Recombination Line	74.37500	0			H(445)&alpha;	0.00000		0.00000	Recomb
He&alpha;	Helium Recombination Line	74.40500	0			He(445)&alpha;	0.00000		0.00000	Recomb
C&alpha;	Carbon Recombination Line	74.41200	0			C(445)&alpha;	0.00000		0.00000	Recomb
NO,v=1	Nitric oxide	74.43160	0.001			J=17/2-17/2,&Omega;=1/2,F=19/2+-19/2-	-16.77980		2102.81610	CDMS
N18O	Nitric oxide	74.54640	0.0003			J=17/2-17/2,&Omega;=1/2,F=19/2+-17/2-	-14.64270		222.57370	CDMS
CH2OO	Methylene peroxide	74.55450	0.0011			26(6,20)-26(6,21)	-10.27480		351.39620	JPL
CH3OHvt=0-2	Methanol	74.71400	0.001			20(4,16)-20(4,17)A,vt=0	-12.09600		394.47720	CDMS
NO,v=1	Nitric oxide	74.85590	0.0272			J=3/2-3/2,&Omega;=3/2,F=7/2+-5/2-	-16.59180		2000.72560	CDMS
N18O	Nitric oxide	74.86310	0.0007			J=3/2-3/2,&Omega;=3/2,F=7/2+-5/2-	-12.61260		124.82000	CDMS
H&alpha;	Hydrogen Recombination Line	74.87800	0			H(444)&alpha;	0.00000		0.00000	Recomb
17OH	Hydroxyl radical	74.89270	0.0951			N=5-5,J+1/2=9/2-9/2,p=-1-1,F1=5-5,F+1/2=11/2-13/2	-12.49300		606.50010	JPL
He&alpha;	Helium Recombination Line	74.90900	0			He(444)&alpha;	0.00000		0.00000	Recomb
C&alpha;	Carbon Recombination Line	74.91500	0			C(444)&alpha;	0.00000		0.00000	Recomb
NO	Nitric oxide			74.93000	0.001	J=3/2-3/2,&Omega;=3/2,F=7/2+-5/2-	-12.59030		124.91270	CDMS
NO	Nitric oxide			74.93100	0.003	J=3/2,&Omega;=3/2,F=3/2+-5/2-	-12.59020		124.91300	JPL
t-HCOOH	Formic Acid	74.98280	0.0009			51(9,42)-51(9,43)	-13.03850		1174.78890	CDMS
H&alpha;	Hydrogen Recombination Line	75.38600	0			H(443)&alpha;	0.00000		0.00000	Recomb
He&alpha;	Helium Recombination Line	75.41600	0			He(443)&alpha;	0.00000		0.00000	Recomb
C&alpha;	Carbon Recombination Line	75.42300	0			C(443)&alpha;	0.00000		0.00000	Recomb
NH2CH2CH2OHv=0	Aminoethanol	75.43060	0			2(2,0)-2(2,1)	-11.20860		2.27330	JPL
17OO	Molecular oxygen	75.44750	0.0339			N=8-8,J=7-7,F=11/2-9/2	-14.76750		100.27420	JPL
NH2CH2CH2OHv25=1	Aminoethanol	75.46590	0.0001			2(2,0)-2(2,1)	-11.84350		307.27470	JPL
N18O	Nitric oxide	75.77520	0.0004			J=9/2-9/2,&Omega;=1/2,F=11/2--9/2+	-13.71290		38.10900	CDMS
NO,v=1	Nitric oxide	75.81400	0.0035			J=9/2-9/2,&Omega;=1/2,F=11/2--9/2+	-17.60130		1915.82750	CDMS
NO	Nitric oxide	75.89270	0.0004			J=9/2-9/2,&Omega;=1/2,F=11/2--9/2+	-13.69380		40.16210	CDMS
H&alpha;	Hydrogen Recombination Line	75.89800	0			H(442)&alpha;	0.00000		0.00000	Recomb
He&alpha;	Helium Recombination Line	75.92900	0			He(442)&alpha;	0.00000		0.00000	Recomb
C&alpha;	Carbon Recombination Line	75.93600	0			C(442)&alpha;	0.00000		0.00000	Recomb
NO	Nitric oxide			76.02500	0.001	J=15/2,&Omega;=3/2,F=17/2+-17/2-	-12.76300		228.08460	JPL
NO	Nitric oxide			76.02500	0.001	J=17/2-17/2,&Omega;=1/2,F=19/2+-19/2-	-12.76310		228.08440	CDMS
OCSv2=1	Carbonyl Sulfide			76.33630	0.0001	J=3,l=1f-1e	-12.05100		522.85930	CDMS
17OD	Hydroxyl radical	76.36560	0.0067			N=1-1,J+1/2=3/2-3/2,p=-1-1,F1=2-3,F=1-0	-10.47840		0.03460	JPL
H&alpha;	Hydrogen Recombination Line	76.41500	0			H(441)&alpha;	0.00000		0.00000	Recomb
H2C18O	Formaldehyde	76.42540	1.1796			25(3,22)-26(1,25)	-12.98140		832.48160	CDMS
He&alpha;	Helium Recombination Line	76.44600	0			He(441)&alpha;	0.00000		0.00000	Recomb
C&alpha;	Carbon Recombination Line	76.45300	0			C(441)&alpha;	0.00000		0.00000	Recomb
17OO	Molecular oxygen	76.50300	0.0268			N=4-4,J=3-3,F=5/2-3/2	-14.24720		27.66230	JPL
H2SO4	Sulfuric acid	76.59860	0.0034			41(19,23)-41(18,23)	-10.52340		287.92650	JPL
CH318OHvt=0,1&2	Methanol	76.75700	0.04			40(4,36)-40(4,37)A,vt=1	-14.75100		1599.55900	CDMS
CH2OO	Methylene peroxide	76.79410	0.0008			19(5,14)-19(5,15)	-9.96070		202.34680	JPL
17OO	Molecular oxygen	76.92190	0.0276			N=3-3,J=4-4,F=5/2-7/2	-14.04800		16.59590	JPL
H&alpha;	Hydrogen Recombination Line	76.93600	0			H(440)&alpha;	0.00000		0.00000	Recomb
He&alpha;	Helium Recombination Line	76.96800	0			He(440)&alpha;	0.00000		0.00000	Recomb
C&alpha;	Carbon Recombination Line	76.97500	0			C(440)&alpha;	0.00000		0.00000	Recomb
17OO	Molecular oxygen	77.03550	0.0354			N=7-7,J=8-8,F=11/2-13/2	-14.65010		77.91530	JPL
NH2CH2CH2OHv27=2	Aminoethanol	77.04080	0			2(2,0)-2(2,1)	-11.53190		166.27070	JPL
HC3Nv5=1	Cyanoacetylene	77.36000	0.22			J=5,l=1f-1e	0.00000		667.76000	SLAIM
t-DCOOH	Formic Acid	77.44280	0			10(4,6)-10(4,7)	-10.78630		65.39550	JPL
H&alpha;	Hydrogen Recombination Line	77.46300	0			H(439)&alpha;	0.00000		0.00000	Recomb
15N17O	Nitric oxide	77.46910	0.0153			J=1/2-1/2,p=-1-1,F1=3-2,F2=3-2	-12.66230		0.00080	CDMS
He&alpha;	Helium Recombination Line	77.49400	0			He(439)&alpha;	0.00000		0.00000	Recomb
C&alpha;	Carbon Recombination Line	77.50100	0			C(439)&alpha;	0.00000		0.00000	Recomb
CH318OHvt=0,1&2	Methanol	77.79400	0.01			10(2,9)-10(2,8)A,vt=1	-12.19300		292.31300	CDMS
NH2CH2CH2OHv25=1	Aminoethanol	77.95040	0.0003			28(9,19)-28(9,20)	-11.94940		468.26640	JPL
HCCCH2OH	Propargyl Alcohol	77.98220	0.0001			10(3,7)-10(3,8),vt=0-0	-11.99960		24.82250	JPL
H&alpha;	Hydrogen Recombination Line	77.99400	0			H(438)&alpha;	0.00000		0.00000	Recomb
He&alpha;	Helium Recombination Line	78.02600	0			He(438)&alpha;	0.00000		0.00000	Recomb
C&alpha;	Carbon Recombination Line	78.03300	0			C(438)&alpha;	0.00000		0.00000	Recomb
NH2CH2CH2OHv27=2	Aminoethanol	78.15660	0.0004			41(12,29)-41(12,30)	-11.94500		501.64590	JPL
MgNCv2=1	Magnesium Isocyanide	78.17130	0.0624			J=3/2-1/2,&Omega;=3/2-1/2,l=f	-9.92880		83.79300	CDMS
17OO	Molecular oxygen	78.40810	0.035			N=9-9,J=8-8,F=13/2-11/2	-14.82940		125.38970	JPL
HC3Nv7=1	Cyanoacetylene	78.45700	0			J=3,l=1f-1e	0.00000		224.23000	SLAIM
HC3Nv7=1	Cyanoacetylene	78.46140	0.0001			J=3,l=1f-1e	-10.08630		224.82540	CDMS
H&alpha;	Hydrogen Recombination Line	78.53000	0			H(437)&alpha;	0.00000		0.00000	Recomb
N17O	Nitric oxide	78.54350	0.0116			J=1/2-1/2,&Omega;=1/2,F1=5/2+-5/2-,F2=7/2+-7/2-	-12.73930		0.00300	CDMS
He&alpha;	Helium Recombination Line	78.56200	0			He(437)&alpha;	0.00000		0.00000	Recomb
C&alpha;	Carbon Recombination Line	78.56900	0			C(437)&alpha;	0.00000		0.00000	Recomb
CH318OHvt=0,1&2	Methanol	78.57000	0			21(4,17)-21(4,18)A,vt=0	-12.10900		413.21200	CDMS
NH2CH2CH2OHv=0	Aminoethanol	78.62780	0.0001			28(9,19)-28(9,20)	-11.30720		163.46260	JPL
c-HCOOH	Formic Acid	78.81020	0.0001			8(3,5)-8(3,6)	-10.24880		49.05750	CDMS
HC3Nv7=3	Cyanoacetylene	78.97800	0.002			J=2,l=1f-1e	0.00000		665.62000	SLAIM
H&alpha;	Hydrogen Recombination Line	79.07100	0			H(436)&alpha;	0.00000		0.00000	Recomb
He&alpha;	Helium Recombination Line	79.10300	0			He(436)&alpha;	0.00000		0.00000	Recomb
C&alpha;	Carbon Recombination Line	79.11000	0			C(436)&alpha;	0.00000		0.00000	Recomb
CH3OHvt=0-2	Methanol	79.31600	0.042			33(2,31)-33(2,32)A,vt=2	-15.50130		1508.49680	CDMS
HDO	Water	79.37580	0.0037			9(6,3)-9(6,4)	-11.62210		1244.43710	JPL
CH3OHvt=0-2	Methanol	79.44800	0			5(2,3)-5(2,4)A,vt=0	-11.38070		50.41080	CDMS
CH318OHvt=0,1&2	Methanol	79.51400	0.22			34(2,33)-34(2,32)A,vt=2	-15.26500		1520.64300	CDMS
H&alpha;	Hydrogen Recombination Line	79.61700	0			H(435)&alpha;	0.00000		0.00000	Recomb
He&alpha;	Helium Recombination Line	79.64900	0			He(435)&alpha;	0.00000		0.00000	Recomb
C&alpha;	Carbon Recombination Line	79.65700	0			C(435)&alpha;	0.00000		0.00000	Recomb
17OO	Molecular oxygen	79.67790	0.0362			N=8-8,J=9-9,F=13/2-15/2	-14.71900		100.21940	JPL
17OD	Hydroxyl radical	79.87180	0.0066			N=1-1,J+1/2=3/2-3/2,p=-1-1,F1=2-3,F=1-1	-10.53340		0.03450	JPL
CH3CHNH2COOH-II	&alpha;-Alanine	79.89370	0.0001			5(4,1)-5(4,2),F=5-5	-10.90840		3.97470	CDMS
CH3CHNH2COOH-II	&alpha;-Alanine	79.90080	0.0002			5(4,1)-5(4,2),F=6-6	-10.81850		3.97470	CDMS
CH3CHNH2COOH-II	&alpha;-Alanine	79.90220	0.0002			5(4,1)-5(4,2),F=4-4	-10.98370		3.97470	CDMS
H2C18O	Formaldehyde	79.95170	0.0001			13(4,9)-13(4,10)	-10.45550		342.51590	CDMS
H2C18O	Formaldehyde	79.95200	0.001			13(4,9)-13(4,10)	0.00000		342.52400	SLAIM
t-HCOOH	Formic Acid	80.00250	0.0001			27(6,21)-27(6,22)	-11.36120		363.48300	CDMS
N18O	Nitric oxide	80.07980	0.0003			J=7/2-7/2,&Omega;=1/2,F=9/2--7/2+	-13.76320		23.82510	CDMS
NO,v=1	Nitric oxide	80.09150	0.004			J=7/2-7/2,&Omega;=1/2,F=9/2--7/2+	-17.65070		1900.92810	CDMS
N17O	Nitric oxide	80.11940	0.0155			J=3/2-3/2,&Omega;=3/2,F1=3/2+-5/2-,F2=5/2+-7/2-	-13.27860		133.23070	CDMS
NH2CH2CH2OHv27=1	Aminoethanol	80.16630	0.0004			42(12,30)-42(12,31)	-11.83580		454.83860	JPL
H&alpha;	Hydrogen Recombination Line	80.16800	0			H(434)&alpha;	0.00000		0.00000	Recomb
NO	Nitric oxide	80.18140	0.0003			J=7/2-7/2,&Omega;=1/2,F=9/2--7/2+	-13.74280		25.10860	CDMS
He&alpha;	Helium Recombination Line	80.20100	0			He(434)&alpha;	0.00000		0.00000	Recomb
C&alpha;	Carbon Recombination Line	80.20800	0			C(434)&alpha;	0.00000		0.00000	Recomb
CH3OHvt=0-2	Methanol	80.29100	0.002			34(5,29)-34(5,30)A,vt=0	-13.47420		1053.60320	CDMS
15NO	Nitric oxide			80.48910	0.0005	J=17/2-17/2,&Omega;=1/2,F=15/2+-17/2-	-14.69550		224.32620	CDMS
15NO	Nitric oxide			80.48910	0.0005	J=17/2-17/2,&Omega;=1/2,F=15/2+-17/2-	-14.69650		224.32620	JPL
H2SO4	Sulfuric acid	80.57510	0.0055			60(28,33)-60(27,33)	-10.90820		611.84860	JPL
c-HCOOD	Formic Acid	80.58750	0.0001			3(2,1)-3(2,2)	-10.15020		13.93820	JPL
H2SO4	Sulfuric acid	80.68080	0.079			73(34,40)-73(33,40)	-11.80890		902.68010	JPL
NH2CH2CH2OHv26=1	Aminoethanol	80.69780	0.0006			38(11,27)-38(11,28)	-11.94310		495.78500	JPL
H&alpha;	Hydrogen Recombination Line	80.72400	0			H(433)&alpha;	0.00000		0.00000	Recomb
17OO	Molecular oxygen	80.73480	0.0359			N=10-10,J=9-9,F=15/2-13/2	-14.90190		153.28990	JPL
17OD	Hydroxyl radical	80.74370	0.0067			N=1-1,J+1/2=3/2-3/2,p=-1-1,F1=3-3,F=2-1	-10.07980		0.03450	JPL
He&alpha;	Helium Recombination Line	80.75700	0			He(433)&alpha;	0.00000		0.00000	Recomb
C&alpha;	Carbon Recombination Line	80.76400	0			C(433)&alpha;	0.00000		0.00000	Recomb
CH3OHvt=0-2	Methanol	80.79800	0.008			24(3,21)-24(3,22)A,vt=1	-13.12920		757.67240	CDMS
N17O	Nitric oxide	80.83340	0.0157			J=3/2-3/2,&Omega;=3/2,F1=3/2+-5/2-,F2=3/2+-5/2-	-13.37460		133.22970	CDMS
NH2CH2CH2OHv26+v27	Aminoethanol	80.86810	0.0022			24(8,16)-24(8,17)	-11.78500		389.47680	JPL
N18O	Nitric oxide	81.20470	0.0004			J=19/2-19/2,&Omega;=1/2,F=19/2--21/2+	-14.78130		250.25880	CDMS
t-HCOOH	Formic Acid	81.27370	0			13(4,9)-13(4,10)	-10.84370		103.67010	CDMS
H&alpha;	Hydrogen Recombination Line	81.28500	0			H(432)&alpha;	0.00000		0.00000	Recomb
17OO	Molecular oxygen	81.31290	0.0271			N=4-4,J=5-5,F=7/2-9/2	-14.10470		27.73700	JPL
He&alpha;	Helium Recombination Line	81.31800	0			He(432)&alpha;	0.00000		0.00000	Recomb
C&alpha;	Carbon Recombination Line	81.32600	0			C(432)&alpha;	0.00000		0.00000	Recomb
D2CO	Formaldehyde	81.41890	0.0002			45(11,34)-45(11,35)	-14.64850		2471.62540	CDMS
NO	Nitric oxide			81.54700	0.001	J=15/2,&Omega;=3/2,F=13/2+-15/2-	-14.55540		228.08400	JPL
NO	Nitric oxide			81.54700	0.001	J=17/2-17/2,&Omega;=1/2,F=17/2+-15/2-	-14.55550		228.08380	CDMS
17OH	Hydroxyl radical	81.76540	0.0088			N=5-5,J+1/2=9/2-9/2,p=1--1,F1=4-5,F+1/2=9/2-11/2	-13.21080		606.50260	JPL
17OO	Molecular oxygen	81.82600	0.0369			N=9-9,J=10-10,F=15/2-17/2	-14.79470		125.31090	JPL
H&alpha;	Hydrogen Recombination Line	81.85200	0			H(431)&alpha;	0.00000		0.00000	Recomb
He&alpha;	Helium Recombination Line	81.88500	0			He(431)&alpha;	0.00000		0.00000	Recomb
C&alpha;	Carbon Recombination Line	81.89200	0			C(431)&alpha;	0.00000		0.00000	Recomb
NH2CH2CH2OHv27=1	Aminoethanol	81.89580	0.0001			20(7,13)-20(7,14)	-11.39290		190.47770	JPL
N18O	Nitric oxide	81.93150	0.0004			J=19/2-19/2,&Omega;=1/2,F=17/2--19/2+	-14.77380		250.25860	CDMS
17OO	Molecular oxygen	82.00390	0.0269			N=5-5,J=4-4,F=7/2-5/2	-14.23750		41.64090	JPL
HCCCHO	2-Propynal	82.15100	0			16(3,13)-16(3,14)	0.00000		61.33000	SLAIM
t-H13COOH	Formic Acid	82.20760	0.0002			34(7,27)-34(7,28)	-11.70370		551.42370	CDMS
H&alpha;	Hydrogen Recombination Line	82.42300	0			H(430)&alpha;	0.00000		0.00000	Recomb
